"id","name","code","rule_ids/id"
"__export__.hr_payroll_structure_260","Paie Normal","BASE","__export__.hr_salary_rule_5,__export__.hr_salary_rule_6,__export__.hr_salary_rule_7,__export__.hr_salary_rule_9,__export__.hr_salary_rule_10,__export__.hr_salary_rule_11,__export__.hr_salary_rule_12,__export__.hr_salary_rule_13,__export__.hr_salary_rule_14,__export__.hr_salary_rule_15,__export__.hr_salary_rule_16,__export__.hr_salary_rule_17,__export__.hr_salary_rule_18,__export__.hr_salary_rule_19,__export__.hr_salary_rule_21,__export__.hr_salary_rule_22,__export__.hr_salary_rule_23,__export__.hr_salary_rule_24,__export__.hr_salary_rule_25,__export__.hr_salary_rule_26,__export__.hr_salary_rule_27,__export__.hr_salary_rule_28,__export__.hr_salary_rule_29,__export__.hr_salary_rule_30,__export__.hr_salary_rule_31,__export__.hr_salary_rule_32,__export__.hr_salary_rule_33,__export__.hr_salary_rule_34,__export__.hr_salary_rule_35,__export__.hr_salary_rule_39,__export__.hr_salary_rule_41,__export__.hr_salary_rule_42,__export__.hr_salary_rule_43,__export__.hr_salary_rule_44,__export__.hr_salary_rule_45"
"__export__.hr_payroll_structure_261","STC","STC","__export__.hr_salary_rule_5,__export__.hr_salary_rule_6,__export__.hr_salary_rule_7,__export__.hr_salary_rule_9,__export__.hr_salary_rule_10,__export__.hr_salary_rule_11,__export__.hr_salary_rule_13,__export__.hr_salary_rule_14,__export__.hr_salary_rule_15,__export__.hr_salary_rule_16,__export__.hr_salary_rule_17,__export__.hr_salary_rule_18,__export__.hr_salary_rule_19,__export__.hr_salary_rule_20,__export__.hr_salary_rule_21,__export__.hr_salary_rule_22,__export__.hr_salary_rule_23,__export__.hr_salary_rule_24,__export__.hr_salary_rule_26,__export__.hr_salary_rule_27,__export__.hr_salary_rule_28,__export__.hr_salary_rule_29,__export__.hr_salary_rule_30,__export__.hr_salary_rule_31,__export__.hr_salary_rule_32,__export__.hr_salary_rule_33,__export__.hr_salary_rule_35,__export__.hr_salary_rule_36,__export__.hr_salary_rule_37,__export__.hr_salary_rule_38,__export__.hr_salary_rule_40"
